OBJECTID,Name,Layer,Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies,Commercial building density,Medical institution density,Road density
80,Lugu sub district,neighborhood,47609.69,21.36,9.14,21.78,2,8.3,9,15.46,14.47,9.09
39,Lucheng town,neighborhood,41189.82,26.25,0.38,3.73,0.45,3.7,0,0.91,0.8,4.85
100,Machangying town,neighborhood,22915.21,50.84,0.31,2.47,0.42,0.3,1,0.35,0.73,1.41
319,Machikou Regional Office,neighborhood,30365.86,39.07,0.28,1.78,0.81,0.8,11,0.94,1.17,6.43
91,Mafang Regional Office,neighborhood,22938.81,48.32,0.37,2.3,0.4,1.3,2,0.91,0.69,3.8
193,Majiabao sub district,neighborhood,61539.46,11.18,11.27,21.84,5.98,11.5,14,22.76,25.29,13.06
37,Majuqiao town,neighborhood,27064.33,22.79,0.39,3.04,1.06,2,31,2.25,1.95,4.51
175,Malianwa sub district,neighborhood,82598.15,21.33,5.12,9.21,6.42,8.4,27,13.49,12.19,11.17
54,Mapo Regional Office,neighborhood,28319.25,31.92,0.84,4.03,0.68,2.3,4,1.44,2.74,2.02
307,Maizidian sub district,neighborhood,73025.26,4,20.49,13.2,2.95,12.4,31,22.98,20.18,17.83
105,Miyun Town,neighborhood,22527.89,62.49,0.39,4.39,1.02,3.9,0,2.12,1.73,5.71
134,Miaofengshan town,neighborhood,23046.64,40.33,0.04,0.54,0.02,0.6,1,0.09,0.08,2.73
136,Miaocheng Regional Office,neighborhood,31984.78,43.62,0.32,3.39,0.45,0.6,7,1.15,1.7,4.89
61,Mulin town,neighborhood,26036.53,46.36,0.06,1.37,0.14,0.1,2,0.11,0.6,2.31
117,Mujiayu town,neighborhood,19769.15,71.95,0.04,0.78,0.09,0.2,0,0.11,0.21,1.58
67,Nancai town,neighborhood,32677.33,34.91,0.39,2.86,0.44,1.8,3,1.24,1.28,3.59
84,Nandulehe town,neighborhood,21263.44,70.59,0.09,0.69,0.16,0.1,0,0.06,0.36,1.82
57,South Fassin Regional Office,neighborhood,26709.9,26.79,1.45,3.04,0.29,1.9,5,4.14,2.17,6.08
210,Nanjiao Township,neighborhood,19639.13,55.19,0.05,0.35,0.05,0.3,0,0.03,0.1,2.18
328,Nankou Regional Office,neighborhood,24799.09,51.7,0.11,0.66,0.17,0.3,1,0.41,0.4,2.91
269,Nanmofang Regional Office,neighborhood,69373.38,3.71,11.04,14.43,9.18,14.2,19,21.86,21.32,14.14
314,Nanshao town,neighborhood,41424.95,37.53,0.14,2.58,0.39,2.8,8,2.19,1.39,5.37
185,Nanyuan District Office,neighborhood,48020.84,11.89,1.43,5.39,0.99,9.9,4,5.77,2.31,8.36
194,Nanyuan sub district,neighborhood,41428.98,14.66,0.8,6.04,1.94,2.3,0,3.99,3.76,5.4
19,Niujie sub district,neighborhood,85862.29,9.45,38.29,66.14,11.14,7,3,48.04,33.42,19.44
49,Niulanshan District Office,neighborhood,31835.99,38.54,0.3,3.59,0.76,1.1,2,1.41,1.43,2.78
283,Panjiayuan Subdistrict ,neighborhood,61702.94,3.99,15.63,42.02,15.28,3.5,3,34.72,35.76,11.63
251,Panggezhuang town,neighborhood,30563.38,37.14,0.24,1.31,0.26,0.5,3,0.6,0.64,6.2
281,Bungalow Regional Office,neighborhood,58337.2,6.6,4.03,8.86,2.45,9.9,10,8,10.84,7.84
81,Apple garden sub district,neighborhood,43842.06,23.85,3.26,9.78,1.87,9,12,9.36,4.86,11.23
224,Puwa Township,neighborhood,19679.33,82.57,0.01,0.24,0.03,0.1,0,0.01,0.02,1.37
1,Qianjiadian town,neighborhood,33709.23,89.76,0,0.15,0.01,0,0,0.01,0.02,0.34
246,Qianmen sub district,neighborhood,98857.21,5.71,13.29,38.92,6.65,38,0,26.58,18.99,25.84
142,Qiaozi town,neighborhood,30220.42,46.22,0.08,0.85,0.09,0.9,2,0.22,0.3,1.5
209,Qinglonghu town,neighborhood,22269.49,37.88,0.09,0.88,0.24,0.9,0,0.37,0.43,5.01
178,Qinglongqiao Subdistrict ,neighborhood,85994.4,19.56,1.7,4.58,1.6,1.6,1,4.79,3.67,7.25
249,Qingyundian town,neighborhood,35601.07,24.47,0.16,2.46,0.54,0.3,2,0.23,0.98,6.04
180,Qinghe sub district,neighborhood,75547.09,18.8,5.33,16.31,5.01,8.5,38,21.11,16.2,14.09
173,Qinghuayuan sub district,neighborhood,103842.09,15.91,16.49,8.53,72.77,14.2,48,26.44,6.82,21.57
123,Clearwater ,neighborhood,19768.64,77.12,0.01,0.2,0.01,0,0,0.02,0.04,0.97
253,Qingyuan sub district,neighborhood,41212.34,20.82,10.15,20.99,8.1,18.3,8,13.12,23.16,11.77
135,Quanhe sub district,neighborhood,32119.83,50.12,12.25,41.02,7.97,5.8,5,15.75,25.08,15.13
66,Renhe District Office,neighborhood,30562.35,28.06,0.57,2.83,0.6,3.1,7,2.08,2.29,4.7
5,Rulin sub district,neighborhood,20002.55,74.96,13.66,51.34,7.1,10.9,0,14.2,28.4,12.24
