Average housing prices,School density,Park density,Distance away from CBD,keji,yiliao,Road density,Commercial building density,financial,government
0.070036871,0.009636934,0.098121086,0.532258065,0,0.017220665,0.163493503,0.033449038,0.003602439,0.053019882
0.051658017,0.000224115,0.010438413,0.340097121,0.005988024,0.000700841,0.073436083,0.001420006,0.000369481,0.004876829
0.077983167,0.00425818,0.006263048,0.368626431,0.02994012,0.016920304,0.138712602,0.018144525,0.002955847,0.040515193
0.08644796,0.001792918,0.002087683,0.392386403,0.017964072,0.005907089,0.060743427,0.001735563,0.000554221,0.015255721
0.041302424,0.001232631,0.004175365,0.614290669,0,0.002002403,0.038682381,0.001735563,0.000369481,0.007877954
0.103646995,0.004930524,0.033402923,0.293097468,0.017964072,0.012715258,0.099425808,0.019564531,0.003602439,0.033887708
0.093769166,0.001456746,0.002087683,0.602497399,0,0.003504205,0.045935328,0.000946671,0.000831332,0.006752532
0.058436272,0.003249664,0.050104384,0.222684703,0.02994012,0.021625951,0.174675128,0.06532029,0.013393682,0.036138552
0.011350877,0.000560287,0.006263048,0.468955949,0,0.000901081,0.056814748,0.000473335,0.000461851,0.002500938
0.068665617,0.001792918,0.006263048,0.438692334,0.005988024,0.003904686,0.078875793,0.006468918,0.001016072,0.006377392
0.368180712,0.1041013,0.27348643,0.022545959,0.131736527,0.213356027,0.418253249,0.344903755,0.101976723,0.178566963
0.152883489,0.003697893,0.06263048,0.315816857,0.047904192,0.01381658,0.153218495,0.034553487,0.001293183,0.030386395
0.284580204,0.008628418,0.206680585,0.093479015,0.041916168,0.023027633,0.24357812,0.091038182,0.013208941,0.065524572
0.204647576,0.017817122,0.048016701,0.117499133,0,0.037545054,0.154125113,0.062953613,0.007389618,0.07365262
0.612616557,0.148251905,0.146137787,0.072320499,0.017964072,0.334501402,0.578422484,0.757967813,0.353685572,0.825184444
0.128651976,0.008740475,0.022964509,0.324575095,0.017964072,0.01421706,0.074947114,0.022246766,0.002771107,0.043016131
0.318804693,0.16337965,0.073068894,0.024973985,0.005988024,0.357929515,0.342399516,0.547806879,0.144374654,0.523571339
0.110816823,0.00257732,0.008350731,0.312434964,0.017964072,0.006307569,0.178301602,0.009466709,0.002216885,0.01450544
0.361407558,0.03115195,0.263048017,0.04760666,0.041916168,0.108430116,0.227863403,0.126222783,0.037225199,0.108915843
0.314182637,0.020954729,0.173277662,0.197190427,0.053892216,0.04855827,0.330311272,0.147680656,0.030112692,0.120420158
0.034018125,0.000224115,0.002087683,0.706382241,0,0.00010012,0.032336053,0.000157778,9.23702E-05,0.001125422
0.106256054,0.000112057,0,0.768730489,0,0.00010012,0.001208824,0.000157778,0,0
0.684170058,0.063872703,0.594989562,0.039889005,0,0.190028034,0.771834391,0.419375197,0.122760022,0.484806803
0.100180378,0.001120574,0.020876827,0.39117239,0.011976048,0.002903484,0.036264733,0.003471127,0.000738962,0.008753282
0.053112987,0.002801434,0.018789144,0.31885189,0,0.004205046,0.142339075,0.005837804,0.000831332,0.009128423
0.600607357,0.016136262,0.066805846,0.159989594,0.011976048,0.036643973,0.210033243,0.075575891,0.015702937,0.055395773
0.172718437,0.005939041,0.008350731,0.202566771,0.005988024,0.009711654,0.173466304,0.003628905,0.001477924,0.028885832
0.439944928,0.058493949,0.177453027,0.153399237,0.209580838,0.162094513,0.416742218,0.333070369,0.049233327,0.202075778
0.660143334,0.790004482,0.237995825,0.128338536,0.311377246,0.068181818,0.642792384,0.417166299,0.152318493,0.104789296
0.006874123,0.000112057,0,0.659122442,0,0.00030036,0.020247809,0.000315557,9.23702E-05,0.000625234
0.214867168,0.103541013,0.382045929,0.170915713,0.041916168,0.231778134,0.346630402,0.207005364,0.093755773,0.260597724
0.111706638,0.084939489,0.121085595,0.424991328,0.02994012,0.251001201,0.448171653,0.248501104,0.113153519,0.51106665
0.127808145,0.007619901,0.064718163,0.233697537,0.041916168,0.022827393,0.132970686,0.032817924,0.005265103,0.033512567
0.036322327,0.079560735,0.227557411,0.640391953,0,0.284241089,0.360834089,0.22404544,0.12617772,0.640115043
0.227371834,0.132451815,0.269311065,0.060700659,0.065868263,0.13225871,0.286189181,0.328494793,0.024847589,0.180942854
0.494891104,0.095472882,0.131524008,0.018123482,0.077844311,0.366239487,0.466001813,0.73650994,0.29429152,0.349130924
0.211949878,0.022075303,0.058455115,0.247138398,0.101796407,0.037945535,0.19552735,0.109498264,0.004803251,0.033512567
0.096955081,0.001792918,0.004175365,0.572147069,0.011976048,0.004004806,0.02175884,0.004417797,0.001108443,0.010253845
0.554361443,0.062976244,0.152400835,0.161637183,0.640718563,0.091509812,0.43366576,0.438308615,0.094125254,0.15293235
0.263259981,0.009636934,0.081419624,0.271418661,0.035928144,0.019423308,0.1683288,0.01972231,0.003325328,0.036888833
0.957062648,0.089421784,0.521920668,0.056625043,0.005988024,0.193131758,0.475672409,0.496055538,0.052281544,0.355883456
0.039436754,0.001456746,0.014613779,0.635969476,0,0.003804565,0.046841946,0.003628905,0.000923702,0.025259472
0.179621666,0.064769162,0.24217119,0.241415193,0.011976048,0.459150981,0.287095799,0.273745661,0.249214853,0.682630987
0.259715424,0.026109368,0.108559499,0.05740548,0.083832335,0.095414497,0.214264128,0.160618492,0.031221134,0.094285357
0.033681088,0.000336172,0.004175365,0.672910163,0,0.000500601,0.01783016,0.002682234,0.00018474,0.00200075
0.062098376,0.005714926,0.027139875,0.475546306,0.035928144,0.0139167,0.095194923,0.012148943,0.003971919,0.035888458
0.119727048,0.001792918,0.002087683,0.420828998,0.011976048,0.002703244,0.051677244,0.003628905,0.000554221,0.010003751
0.03644655,0.000112057,0.002087683,0.696323274,0,0.00020024,0.014203687,0.000946671,9.23702E-05,0.001000375
0.012959325,0.003137606,0.018789144,0.424471037,0.011976048,0.007909491,0.161075854,0.006311139,0.001108443,0.01087908
0.134385063,0.042357687,0.198329854,0.2329171,0.011976048,0.230176211,0.331217891,0.154149574,0.148438943,0.506439915
0.009387239,0.000336172,0.002087683,0.565556712,0,0.00020024,0.047144152,0.000157778,0.000277111,0.000500188
0.153950487,0.01064545,0.018789144,0.172476587,0,0.031137365,0.252342097,0.076049227,0.031405875,0.057271477
0.705406791,0.065777678,0.459290188,0.132154006,0.22754491,0.289847817,0.429737081,0.292047965,0.152410863,0.208953358
0.155247102,0.009300762,0.025052192,0.282604925,0.017964072,0.031437725,0.126926564,0.039760177,0.013486052,0.048393147
0.451474113,0.089421784,0.208768267,0.004682622,0.143712575,0.47947537,0.353581142,0.588829284,0.23970072,0.240215081
0.1232467,0.000224115,0.002087683,0.597554631,0,0.000600721,0.003324267,0.000946671,9.23702E-05,0.001750656
0.525226047,0.018713581,0.11691023,0.166406521,0.107784431,0.03474169,0.292233303,0.083622594,0.012931831,0.060647743
0.200894031,0.009412819,0.039665971,0.17733264,0.095808383,0.011513817,0.117558175,0.028242348,0.003694809,0.027385269
0.182148284,0.006051098,0.027139875,0.294138051,0.065868263,0.006207449,0.193411907,0.012306721,0.001939775,0.017256471
0.44146846,0.003809951,0.064718163,0.133107874,0.011976048,0.006407689,0.152614083,0.034553487,0.003694809,0.022008253
0.157995536,0.008628418,0.048016701,0.131893861,0.05988024,0.011814177,0.133272892,0.039760177,0.005265103,0.026134801
0.434195563,0.080793366,0.363256785,0.10102324,0.167664671,0.159191029,0.386521608,0.462764279,0.229632367,0.408403151
0.049551252,0.000560287,0.002087683,0.783818939,0,0.001802163,0.013901481,0.000788892,0.000461851,0.004001501
0.527127649,0.041125056,0.473903967,0.054977454,0.047904192,0.167701241,0.435781203,0.291890186,0.122575282,0.216456171
