Average housing prices,Distance away from CBD,Financial institution density,Retail store density,School density,Park density,Technology companies
0.04767874,0.494276795,0.022723074,0.071526823,0.022939391,0.077244259,0.012820513
0.117839497,0.398022893,0.001385553,0.009503564,0.002024064,0.008350731,0.012820513
0.222873522,0.148543184,0.05883983,0.334750531,0.075677499,0.455114823,0.025641026
0.042699764,0.457769684,0.001016072,0.013630111,0.00337344,0.010438413,0.012820513
0.715337133,0.080731877,0.321355995,0.688758284,0.123130552,0.254697286,0.025641026
0.165726528,0.239420742,0.020413819,0.074152807,0.015517823,0.029227557,0
0.036864235,0.563822407,9.23702E-05,0.000750281,0.000224896,0,0
0.767593127,0.083593479,0.334380196,0.439539827,0.101203194,0.751565762,0.230769231
0.014671142,0.60683316,0.000369481,0.003001125,0.000899584,0.002087683,0
0.162431864,0.193201526,0.002124515,0.030136301,0.00618464,0.035490605,0.057692308
0.040746032,0.731963233,0.000277111,0.003501313,0.000449792,0.006263048,0
0.037802938,0.403225806,0.001200813,0.030636489,0.00168672,0.004175365,0.006410256
0.009252786,0.534252515,0.001662664,0.016131049,0.002923648,0.03131524,0
0.057854863,0.896201873,9.23702E-05,0.000625234,0.000112448,0,0
0.137636272,0.207682969,0.017827452,0.080780293,0.03305971,0.133611691,0
0.156849375,0.222337843,0.005172732,0.018381893,0.003598336,0.050104384,0.038461538
0.124514607,0.242282345,0.005449843,0.026509941,0.010682559,0.050104384,0.038461538
0.063334347,0.240461325,0.001108443,0.026760035,0.003036096,0.016701461,0.019230769
0.120441489,0.293877905,0.001477924,0.02050769,0.002136512,0.010438413,0.051282051
0.125796353,0.667793965,9.23702E-05,0.00162561,0.000337344,0.002087683,0
0.021914387,0.656520985,0.000461851,0.007502814,0.001349376,0.008350731,0
0.206177305,0.142906694,0.106502863,0.387895461,0.083998651,0.177453027,0.012820513
0.117373269,0.244797086,0.014871605,0.040140053,0.003260992,0.091858038,0.076923077
0.708354779,0.112729795,0.212913357,0.610103789,0.138086135,0.315240084,1
0.020330969,0.462278876,0.000646592,0.005752157,0.001911616,0.010438413,0
0.625334178,0.11246965,0.131627563,0.282355883,0.275385134,0.334029228,0.506410256
0.56481898,0.03616025,0.381950859,0.405777166,0.122230968,0.567849687,0.128205128
